True Label,Predicted Label,Prediction Probability,Prediction
0.0,0,0.1791078,Non-Apnea
0.0,0,0.46716022,Non-Apnea
0.0,0,0.39401808,Non-Apnea
0.0,1,0.6341268,Apnea
0.0,0,0.22562578,Non-Apnea
0.0,0,0.20783557,Non-Apnea
0.0,0,0.24064901,Non-Apnea
0.0,0,0.3039126,Non-Apnea
0.0,1,0.63758636,Apnea
0.0,1,0.6514094,Apnea
0.0,1,0.73792297,Apnea
0.0,0,0.32553163,Non-Apnea
0.0,0,0.28090662,Non-Apnea
0.0,0,0.15192652,Non-Apnea
0.0,0,0.09165703,Non-Apnea
0.0,0,0.21130098,Non-Apnea
0.0,0,0.14882278,Non-Apnea
0.0,0,0.19835974,Non-Apnea
0.0,0,0.0500358,Non-Apnea
0.0,0,0.07700611,Non-Apnea
0.0,0,0.22450438,Non-Apnea
0.0,0,0.076586805,Non-Apnea
0.0,0,0.2852494,Non-Apnea
0.0,1,0.94796216,Apnea
0.0,1,0.9081827,Apnea
0.0,1,0.86977524,Apnea
0.0,1,0.8207286,Apnea
0.0,1,0.79385823,Apnea
0.0,0,0.12752405,Non-Apnea
0.0,0,0.03794928,Non-Apnea
0.0,0,0.085730486,Non-Apnea
0.0,1,0.7416255,Apnea
0.0,1,0.7905027,Apnea
0.0,1,0.6822237,Apnea
0.0,0,0.39372328,Non-Apnea
0.0,0,0.142725,Non-Apnea
0.0,0,0.32779476,Non-Apnea
0.0,0,0.1953043,Non-Apnea
0.0,0,0.06213315,Non-Apnea
0.0,0,0.0035593316,Non-Apnea
0.0,0,0.048456404,Non-Apnea
0.0,0,0.0015652857,Non-Apnea
0.0,0,0.000499332,Non-Apnea
0.0,0,2.464969e-05,Non-Apnea
0.0,0,0.00015285023,Non-Apnea
0.0,0,7.687586e-05,Non-Apnea
0.0,0,0.0017813032,Non-Apnea
0.0,0,0.0003837512,Non-Apnea
0.0,0,0.0018159325,Non-Apnea
0.0,0,0.0005273208,Non-Apnea
0.0,0,0.0003211707,Non-Apnea
0.0,0,0.00022433403,Non-Apnea
0.0,0,0.00067892775,Non-Apnea
0.0,0,0.051289693,Non-Apnea
0.0,0,0.0387503,Non-Apnea
0.0,0,0.035593476,Non-Apnea
0.0,0,0.4115365,Non-Apnea
0.0,0,0.064328946,Non-Apnea
0.0,0,0.000749605,Non-Apnea
0.0,0,0.0032096652,Non-Apnea
0.0,0,0.0022135894,Non-Apnea
0.0,0,0.00078873016,Non-Apnea
0.0,0,8.810871e-05,Non-Apnea
0.0,0,8.299238e-05,Non-Apnea
0.0,0,3.26974e-05,Non-Apnea
0.0,0,5.4897802e-05,Non-Apnea
0.0,0,0.00016124081,Non-Apnea
0.0,0,0.00094313436,Non-Apnea
0.0,0,0.0005078476,Non-Apnea
0.0,0,0.00023804803,Non-Apnea
0.0,0,5.715287e-05,Non-Apnea
0.0,0,3.8036815e-05,Non-Apnea
0.0,0,5.4278757e-05,Non-Apnea
0.0,0,9.764937e-05,Non-Apnea
0.0,0,2.3513861e-05,Non-Apnea
0.0,0,9.602913e-05,Non-Apnea
0.0,0,3.638341e-05,Non-Apnea
0.0,0,1.8617397e-05,Non-Apnea
0.0,0,5.6987706e-06,Non-Apnea
0.0,0,3.874112e-05,Non-Apnea
0.0,0,0.00030110226,Non-Apnea
0.0,0,0.1743694,Non-Apnea
0.0,0,0.08726281,Non-Apnea
0.0,0,0.08953154,Non-Apnea
0.0,0,0.08084988,Non-Apnea
0.0,0,0.24377099,Non-Apnea
0.0,0,0.065046676,Non-Apnea
0.0,0,0.089809686,Non-Apnea
0.0,0,0.052927475,Non-Apnea
0.0,0,0.010183919,Non-Apnea
0.0,0,0.000108705906,Non-Apnea
0.0,0,1.9829284e-05,Non-Apnea
0.0,0,5.1986706e-05,Non-Apnea
0.0,0,5.4219863e-06,Non-Apnea
0.0,0,7.3873714e-05,Non-Apnea
0.0,0,8.8070236e-05,Non-Apnea
0.0,0,6.7980676e-05,Non-Apnea
0.0,0,0.00023833346,Non-Apnea
0.0,0,0.000461702,Non-Apnea
0.0,0,0.00045950894,Non-Apnea
0.0,0,0.08266931,Non-Apnea
0.0,1,0.8728215,Apnea
0.0,1,0.71628255,Apnea
0.0,1,0.868071,Apnea
0.0,1,0.7882756,Apnea
0.0,1,0.9143852,Apnea
0.0,0,0.000113600036,Non-Apnea
0.0,0,1.8427789e-05,Non-Apnea
0.0,0,3.5464882e-06,Non-Apnea
0.0,0,6.1239575e-06,Non-Apnea
0.0,0,4.545134e-06,Non-Apnea
0.0,0,8.417712e-07,Non-Apnea
0.0,0,5.6398076e-06,Non-Apnea
0.0,0,8.834316e-06,Non-Apnea
0.0,0,4.1369556e-05,Non-Apnea
0.0,0,0.00018141864,Non-Apnea
0.0,0,0.00045784592,Non-Apnea
0.0,0,0.005243347,Non-Apnea
0.0,0,0.008093428,Non-Apnea
0.0,0,0.0006254066,Non-Apnea
0.0,0,0.40206233,Non-Apnea
0.0,0,0.12062728,Non-Apnea
0.0,0,0.21264216,Non-Apnea
0.0,0,0.17267507,Non-Apnea
0.0,0,0.23672098,Non-Apnea
0.0,0,0.0002664753,Non-Apnea
0.0,0,0.0015649332,Non-Apnea
0.0,0,0.00080315315,Non-Apnea
0.0,0,0.00015842884,Non-Apnea
0.0,0,2.6491149e-05,Non-Apnea
0.0,0,1.8309947e-05,Non-Apnea
0.0,0,3.971639e-05,Non-Apnea
0.0,0,0.0002483719,Non-Apnea
0.0,0,0.00023846053,Non-Apnea
0.0,0,0.00045885672,Non-Apnea
0.0,0,0.00014051373,Non-Apnea
0.0,0,0.000957013,Non-Apnea
0.0,0,0.00035500686,Non-Apnea
0.0,0,0.0038245744,Non-Apnea
0.0,0,0.0038349219,Non-Apnea
0.0,0,0.0012517979,Non-Apnea
0.0,0,0.0023207003,Non-Apnea
0.0,0,0.00015154571,Non-Apnea
0.0,0,3.4039127e-05,Non-Apnea
0.0,0,4.1886175e-05,Non-Apnea
0.0,0,2.8336928e-05,Non-Apnea
0.0,0,1.5184829e-05,Non-Apnea
0.0,0,2.2009795e-05,Non-Apnea
0.0,0,8.363406e-05,Non-Apnea
0.0,0,6.871652e-05,Non-Apnea
0.0,0,0.0002693882,Non-Apnea
0.0,0,0.0007012666,Non-Apnea
0.0,0,0.00077598315,Non-Apnea
0.0,0,0.0012603634,Non-Apnea
0.0,0,0.0009660026,Non-Apnea
0.0,0,0.0002354104,Non-Apnea
0.0,0,7.997293e-05,Non-Apnea
0.0,0,1.2111344e-05,Non-Apnea
0.0,0,0.00015057574,Non-Apnea
0.0,0,0.0025324866,Non-Apnea
0.0,1,0.98933864,Apnea
0.0,1,0.9599828,Apnea
0.0,1,0.87704945,Apnea
0.0,1,0.7728429,Apnea
0.0,0,0.36701968,Non-Apnea
0.0,0,0.031395778,Non-Apnea
0.0,0,0.2595527,Non-Apnea
0.0,0,0.08448311,Non-Apnea
0.0,0,0.00050143787,Non-Apnea
0.0,0,0.0015983803,Non-Apnea
0.0,0,0.013208219,Non-Apnea
0.0,0,0.012089794,Non-Apnea
0.0,1,0.5329051,Apnea
0.0,0,0.09452001,Non-Apnea
0.0,0,0.30198243,Non-Apnea
0.0,0,0.16117395,Non-Apnea
0.0,0,0.4515922,Non-Apnea
0.0,0,0.00067419995,Non-Apnea
0.0,0,0.000572462,Non-Apnea
0.0,0,0.001215054,Non-Apnea
